doc_id,entity_id,decision,surface,start,end,normalized_id,cpe_version,flags,basis
aa20-259a-iran-citrix-vpn-cve-19781,E42,KEEP,Citrix NetScaler,7158,7174,cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-074a,E2,KEEP,Windows Print Spooler,2146,2167,cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-138b-vmware-cve-22954,E6,KEEP,VMware Workspace ONE Access,1372,1399,cpe:2.3:a:vmware:workspace_one_access:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-138b-vmware-cve-22954,E7,KEEP,VMware Identity Manager,1401,1424,cpe:2.3:a:vmware:identity_manager:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-138b-vmware-cve-22954,E74,KEEP,VMware vRealize Automation,1433,1459,cpe:2.3:a:vmware:vrealize_automation:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-138b-vmware-cve-22954,E75,KEEP,VMware Cloud Foundation,1467,1490,cpe:2.3:a:vmware:cloud_foundation:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-138b-vmware-cve-22954,E76,KEEP,vRealize Suite Lifecycle Manager,1496,1528,cpe:2.3:a:vmware:vrealize_suite_lifecycle_manager:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-174a-log4shell-vmware-cve-44228,E4,KEEP,Unified Access Gateway,1753,1775,cpe:2.3:a:vmware:unified_access_gateway:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-174a-log4shell-vmware-cve-44228,E20,KEEP,VMware Horizon,1733,1747,cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-216a,E2,KEEP,Microsoft MSHTML,6918,6934,cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E11,KEEP,Zimbra Collaboration,1486,1506,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E43,KEEP,ZCS,4393,4396,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E44,KEEP,ZCS,4727,4730,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E45,KEEP,ZCS,4956,4959,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E47,KEEP,MailboxImportServlet,5208,5228,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E48,KEEP,RARLAB UnRAR,5370,5382,cpe:2.3:a:rarlab:unrar:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E50,KEEP,ZCS,5539,5542,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E51,KEEP,ZCS,5710,5713,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E52,KEEP,ZCS,6270,6273,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-228a,E53,REVISE_SPAN,ZCS,6389,6392,cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*,*,,Remove the generic deployment/class suffix; ZCS is the independently identifiable affected product mention.
aa22-257a,E26,KEEP,Fortinet FortiOS,13920,13936,cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-257a,E29,KEEP,VMware Horizon,5873,5887,cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-257a,E31,KEEP,VMware Horizon,7641,7655,cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-257a,E71,KEEP,Microsoft Exchange,6812,6830,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-257a,E72,KEEP,Microsoft Exchange,7177,7195,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-257a,E73,KEEP,Microsoft Exchange,13451,13469,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-257a,E74,KEEP,Microsoft Exchange,13596,13614,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-264a,E2,KEEP,Microsoft SharePoint,4035,4055,cpe:2.3:a:microsoft:sharepoint_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-277a,E41,KEEP,Exchange Server,5011,5026,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-320a,E19,KEEP,VMware Horizon,3497,3511,cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a,E29,KEEP,FortiOS,3881,3888,cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a,E30,KEEP,Microsoft Exchange,4399,4417,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a,E31,KEEP,Microsoft Exchange,4482,4500,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a,E32,KEEP,Microsoft Exchange,4563,4581,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a,E33,KEEP,Microsoft Exchange,10763,10781,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a-hive-exchange,E6,KEEP,FortiOS,3496,3503,cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a-hive-exchange,E18,KEEP,Microsoft Exchange,4019,4037,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a-hive-exchange,E19,KEEP,Microsoft Exchange,4101,4119,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a-hive-exchange,E20,KEEP,Microsoft Exchange,4181,4199,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-321a-hive-exchange,E21,KEEP,Microsoft Exchange,10159,10177,cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa22-335a,E26,KEEP,Windows Common Log File System (CLFS) driver,5271,5315,cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa23-074a,E21,KEEP,Progress Telerik,1330,1346,cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa23-074a,E77,KEEP,Telerik UI for ASP.NET AJAX,3231,3258,cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa23-074a,E79,KEEP,Telerik UI for ASP.NET AJAX,3917,3944,cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa23-074a,E80,KEEP,Telerik UI for ASP.NET AJAX DialogHandler,4241,4282,cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
aa23-074a,E81,KEEP,Telerik,9355,9362,cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*,*,,Retained after the full Configuration inventory audit under MCPU v2.
