doc_id,entity_id,surface,start,end,gold_cpe,cpe_family,relation_ids,linked_cves,audit_status
"aa20-259a-iran-citrix-vpn-cve-19781","E42","Citrix NetScaler","7158","7174","cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*","a:citrix:netscaler_application_delivery_controller","R1","CVE-2019-19781","canonical_family_but_not_linked_cve"
"aa22-074a","E2","Windows Print Spooler","2146","2167","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R1","CVE-2021-34527","canonical_family_but_not_linked_cve"
"aa22-138b-vmware-cve-22954","E6","VMware Workspace ONE Access","1372","1399","cpe:2.3:a:vmware:workspace_one_access:*:*:*:*:*:*:*:*","a:vmware:workspace_one_access","R2|R4","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa22-138b-vmware-cve-22954","E7","VMware Identity Manager","1401","1424","cpe:2.3:a:vmware:identity_manager:*:*:*:*:*:*:*:*","a:vmware:identity_manager","R3|R5","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa22-138b-vmware-cve-22954","E74","VMware vRealize Automation","1433","1459","cpe:2.3:a:vmware:vrealize_automation:*:*:*:*:*:*:*:*","a:vmware:vrealize_automation","R8|R9","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa22-138b-vmware-cve-22954","E75","VMware Cloud Foundation","1467","1490","cpe:2.3:a:vmware:cloud_foundation:*:*:*:*:*:*:*:*","a:vmware:cloud_foundation","R10|R11","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa22-138b-vmware-cve-22954","E76","vRealize Suite Lifecycle Manager","1496","1528","cpe:2.3:a:vmware:vrealize_suite_lifecycle_manager:*:*:*:*:*:*:*:*","a:vmware:vrealize_suite_lifecycle_manager","R12|R13","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa22-174a-log4shell-vmware-cve-44228","E4","Unified Access Gateway","1753","1775","cpe:2.3:a:vmware:unified_access_gateway:*:*:*:*:*:*:*:*","a:vmware:unified_access_gateway","R2","CVE-2021-44228","canonical_family_but_not_linked_cve"
"aa22-174a-log4shell-vmware-cve-44228","E20","VMware Horizon","1733","1747","cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*","a:vmware:horizon","R1","CVE-2021-44228","canonical_family_but_not_linked_cve"
"aa22-216a","E2","Microsoft MSHTML","6918","6934","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R1","CVE-2021-40444","canonical_family_but_not_linked_cve"
"aa22-228a","E11","Zimbra Collaboration","1486","1506","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R1|R3|R6|R7|R8","CVE-2022-24682|CVE-2022-27924|CVE-2022-27925|CVE-2022-30333|CVE-2022-37042","canonical_family_but_not_linked_cve"
"aa22-228a","E43","ZCS","4393","4396","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R9","CVE-2022-27925","canonical_family_but_not_linked_cve"
"aa22-228a","E44","ZCS","4727","4730","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R11|R12","CVE-2022-27925|CVE-2022-37042","canonical_family_but_not_linked_cve"
"aa22-228a","E45","ZCS","4956","4959","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R13","CVE-2022-37042","canonical_family_but_not_linked_cve"
"aa22-228a","E47","MailboxImportServlet","5208","5228","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R15","CVE-2022-37042","canonical_family_but_not_linked_cve"
"aa22-228a","E48","RARLAB UnRAR","5370","5382","cpe:2.3:a:rarlab:unrar:*:*:*:*:*:*:*:*","a:rarlab:unrar","R16","CVE-2022-30333","validated_linked_cve_family"
"aa22-228a","E50","ZCS","5539","5542","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R18","CVE-2022-30333","canonical_family_but_not_linked_cve"
"aa22-228a","E51","ZCS","5710","5713","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R19","CVE-2022-30333","canonical_family_but_not_linked_cve"
"aa22-228a","E52","ZCS","6270","6273","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R20","CVE-2022-30333","canonical_family_but_not_linked_cve"
"aa22-228a","E53","ZCS","6389","6392","cpe:2.3:a:zimbra:collaboration:*:*:*:*:*:*:*:*","a:zimbra:collaboration","R21","CVE-2022-24682","canonical_family_but_not_linked_cve"
"aa22-257a","E26","Fortinet FortiOS","13920","13936","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","o:fortinet:fortios","R1|R2|R3","CVE-2018-13379|CVE-2019-5591|CVE-2020-12812","validated_linked_cve_family"
"aa22-257a","E29","VMware Horizon","5873","5887","cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*","a:vmware:horizon","R4|R7|R8","CVE-2021-44228|CVE-2021-45046|CVE-2021-45105","canonical_family_but_not_linked_cve"
"aa22-257a","E31","VMware Horizon","7641","7655","cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*","a:vmware:horizon","R15|R5|R6","CVE-2021-44228|CVE-2021-45046|CVE-2021-45105","canonical_family_but_not_linked_cve"
"aa22-257a","E71","Microsoft Exchange","6812","6830","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R10|R11|R9","CVE-2021-31207|CVE-2021-34473|CVE-2021-34523","validated_linked_cve_family"
"aa22-257a","E72","Microsoft Exchange","7177","7195","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R12|R13|R14","CVE-2021-31207|CVE-2021-34473|CVE-2021-34523","validated_linked_cve_family"
"aa22-257a","E73","Microsoft Exchange","13451","13469","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R16|R17|R18","CVE-2021-31207|CVE-2021-34473|CVE-2021-34523","validated_linked_cve_family"
"aa22-257a","E74","Microsoft Exchange","13596","13614","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R19|R20|R21|R22|R23","CVE-2021-31196|CVE-2021-31206|CVE-2021-33766|CVE-2021-33768|CVE-2021-34470","validated_linked_cve_family"
"aa22-264a","E2","Microsoft SharePoint","4035","4055","cpe:2.3:a:microsoft:sharepoint_server:*:*:*:*:*:*:*:*","a:microsoft:sharepoint_server","R1","CVE-2019-0604","validated_linked_cve_family"
"aa22-277a","E41","Exchange Server","5011","5026","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R1|R2|R3|R4","CVE-2021-26855|CVE-2021-26857|CVE-2021-26858|CVE-2021-27065","validated_linked_cve_family"
"aa22-320a","E19","VMware Horizon","3497","3511","cpe:2.3:a:vmware:horizon:*:*:*:*:*:*:*:*","a:vmware:horizon","R1","CVE-2021-44228","canonical_family_but_not_linked_cve"
"aa22-321a-hive-exchange","E6","FortiOS","3496","3503","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","o:fortinet:fortios","R1","CVE-2020-12812","validated_linked_cve_family"
"aa22-321a-hive-exchange","E18","Microsoft Exchange","4019","4037","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R2","CVE-2021-31207","validated_linked_cve_family"
"aa22-321a-hive-exchange","E19","Microsoft Exchange","4101","4119","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R3","CVE-2021-34473","validated_linked_cve_family"
"aa22-321a-hive-exchange","E20","Microsoft Exchange","4181","4199","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R4","CVE-2021-34523","validated_linked_cve_family"
"aa22-321a-hive-exchange","E21","Microsoft Exchange","10159","10177","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R12|R13|R14|R5","CVE-2021-31207|CVE-2021-34473|CVE-2021-34523|CVE-2021-42321","validated_linked_cve_family"
"aa22-321a","E29","FortiOS","3881","3888","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","o:fortinet:fortios","R6","CVE-2020-12812","validated_linked_cve_family"
