doc_id,entity_id,action,old_cpe,new_cpe,adjudication_basis,source_urls
"aa22-074a","E2","REVISE_CPE","cpe:2.3:a:microsoft:windows_print_spooler:*:*:*:*:*:*:*:*","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","Windows Print Spooler 没有独立正式 CPE，CVE-2021-34527 的受影响配置均为 Windows；按既定组件到唯一父产品族规则投影到 o:microsoft:windows。","https://nvd.nist.gov/vuln/detail/CVE-2021-34527"
"aa22-216a","E2","REVISE_CPE","cpe:2.3:a:microsoft:windows:*:*:*:*:*:*:*:*","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","MSHTML 是 Windows 组件，原 CPE 的 part=a 错误；CVE-2021-40444 明示影响 Microsoft Windows，统一投影到 Windows OS 族。","https://nvd.nist.gov/vuln/detail/CVE-2021-40444"
"aa22-257a","E26","REVISE_CPE","cpe:2.3:a:fortinet:fortios:*:*:*:*:*:*:*:*","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","FortiOS 的正式 CPE 使用 part=o；a:fortinet:fortios 在当前 NVD CPE 检索中无匹配。","https://nvd.nist.gov/vuln/detail/CVE-2018-13379 | https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Afortinet%3Afortios%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A&namingFormat=2.3&orderBy=CPEURI&status=FINAL%2CDEPRECATED"
"aa22-321a-hive-exchange","E6","REVISE_CPE","cpe:2.3:a:fortinet:fortios:*:*:*:*:*:*:*:*","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","FortiOS 的正式 CPE 使用 part=o；a:fortinet:fortios 在当前 NVD CPE 检索中无匹配。","https://nvd.nist.gov/vuln/detail/CVE-2018-13379 | https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Afortinet%3Afortios%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A&namingFormat=2.3&orderBy=CPEURI&status=FINAL%2CDEPRECATED"
"aa23-074a","E21","REVISE_CPE","cpe:2.3:a:progress:telerik:*:*:*:*:*:*:*:*","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","表面词均指 Telerik UI for ASP.NET AJAX；当前 NVD CPE 将旧 telerik:ui_for_asp.net_ajax 迁移到 progress:telerik_ui_for_asp.net_ajax。","https://nvd.nist.gov/products/cpe/detail/1799233"
"aa23-074a","E77","REVISE_CPE","cpe:2.3:a:progress:telerik:*:*:*:*:*:*:*:*","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","表面词均指 Telerik UI for ASP.NET AJAX；当前 NVD CPE 将旧 telerik:ui_for_asp.net_ajax 迁移到 progress:telerik_ui_for_asp.net_ajax。","https://nvd.nist.gov/products/cpe/detail/1799233"
"aa23-074a","E79","REVISE_CPE","cpe:2.3:a:progress:telerik:*:*:*:*:*:*:*:*","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","表面词均指 Telerik UI for ASP.NET AJAX；当前 NVD CPE 将旧 telerik:ui_for_asp.net_ajax 迁移到 progress:telerik_ui_for_asp.net_ajax。","https://nvd.nist.gov/products/cpe/detail/1799233"
"aa23-074a","E80","REVISE_CPE","cpe:2.3:a:progress:telerik:*:*:*:*:*:*:*:*","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","表面词均指 Telerik UI for ASP.NET AJAX；当前 NVD CPE 将旧 telerik:ui_for_asp.net_ajax 迁移到 progress:telerik_ui_for_asp.net_ajax。","https://nvd.nist.gov/products/cpe/detail/1799233"
"aa23-074a","E81","REVISE_CPE","cpe:2.3:a:progress:telerik:*:*:*:*:*:*:*:*","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","表面词均指 Telerik UI for ASP.NET AJAX；当前 NVD CPE 将旧 telerik:ui_for_asp.net_ajax 迁移到 progress:telerik_ui_for_asp.net_ajax。","https://nvd.nist.gov/products/cpe/detail/1799233"
"aa23-074a","E82","REVISE_CPE","cpe:2.3:a:progress:telerik:*:*:*:*:*:*:*:*","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","表面词均指 Telerik UI for ASP.NET AJAX；当前 NVD CPE 将旧 telerik:ui_for_asp.net_ajax 迁移到 progress:telerik_ui_for_asp.net_ajax。","https://nvd.nist.gov/products/cpe/detail/1799233"
"aa23-158a","E35","REVISE_CPE","cpe:2.3:a:fortra:goanywhere_mft:*:*:*:*:*:*:*:*","cpe:2.3:a:fortra:goanywhere_managed_file_transfer:*:*:*:*:*:*:*:*","NVD 正式 product 字段为 goanywhere_managed_file_transfer，GoAnywhere MFT 是其表面简称。","https://nvd.nist.gov/products/cpe/detail/C07A8C20-10EE-443B-AF44-135B31A8DA14"
"aa23-165a","E84","REVISE_CPE","cpe:2.3:a:fortra:goanywhere_mft:*:*:*:*:*:*:*:*","cpe:2.3:a:fortra:goanywhere_managed_file_transfer:*:*:*:*:*:*:*:*","NVD 正式 product 字段为 goanywhere_managed_file_transfer，GoAnywhere MFT 是其表面简称。","https://nvd.nist.gov/products/cpe/detail/C07A8C20-10EE-443B-AF44-135B31A8DA14"
"aa23-165a","E89","REVISE_CPE","cpe:2.3:a:microsoft:remote_desktop_services:*:*:*:*:*:*:*:*","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","Remote Desktop Services 无独立正式 CPE；CVE-2019-0708 的 CPE 为 Windows 7 与 Windows Server 2008，二者唯一共同父族为 Windows OS。","https://nvd.nist.gov/vuln/detail/CVE-2019-0708"
"aa23-215a","E191","REVISE_CPE","cpe:2.3:a:microsoft:remote_desktop_services:*:*:*:*:*:*:*:*","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","Remote Desktop Services 无独立正式 CPE；CVE-2019-0708 的 CPE 为 Windows 7 与 Windows Server 2008，二者唯一共同父族为 Windows OS。","https://nvd.nist.gov/vuln/detail/CVE-2019-0708"
"aa23-215a","E193","KEEP","cpe:2.3:a:citrix:netscaler_gateway:*:*:*:*:*:*:*:*","","当前 NVD CPE 字典仍列出 a:citrix:netscaler_gateway；不能仅因 CVE 配置同时含 firmware/hardware 就把产品 mention 强制改成固件。","https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Acitrix%3Anetscaler_gateway%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A%3A%2A&namingFormat=2.3&orderBy=CPEURI&status=FINAL%2CDEPRECATED"
"aa23-215a","E197","REVISE_CPE","cpe:2.3:a:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","cpe:2.3:o:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","SMA 100 Series 漏洞落在设备固件；NVD 配置使用 part=o 的 sma_100_firmware/具体型号固件族。","https://nvd.nist.gov/vuln/detail/CVE-2021-20016 | https://nvd.nist.gov/vuln/detail/CVE-2021-20038"
"aa23-215a","E206","REVISE_CPE","cpe:2.3:a:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","cpe:2.3:o:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","SMA 100 Series 漏洞落在设备固件；NVD 配置使用 part=o 的 sma_100_firmware/具体型号固件族。","https://nvd.nist.gov/vuln/detail/CVE-2021-20016 | https://nvd.nist.gov/vuln/detail/CVE-2021-20038"
"aa23-215a","E223","REVISE_CPE","cpe:2.3:a:microsoft:remote_desktop_services:*:*:*:*:*:*:*:*","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","Remote Desktop Services 无独立正式 CPE；CVE-2019-0708 的 CPE 为 Windows 7 与 Windows Server 2008，二者唯一共同父族为 Windows OS。","https://nvd.nist.gov/vuln/detail/CVE-2019-0708"
"aa23-215a","E229","REVISE_CPE","cpe:2.3:a:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","cpe:2.3:o:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","SMA 100 Series 漏洞落在设备固件；NVD 配置使用 part=o 的 sma_100_firmware/具体型号固件族。","https://nvd.nist.gov/vuln/detail/CVE-2021-20016 | https://nvd.nist.gov/vuln/detail/CVE-2021-20038"
"aa23-215a","E243","REVISE_CPE","cpe:2.3:a:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","cpe:2.3:o:sonicwall:sma_100_firmware:*:*:*:*:*:*:*:*","SMA 100 Series 漏洞落在设备固件；NVD 配置使用 part=o 的 sma_100_firmware/具体型号固件族。","https://nvd.nist.gov/vuln/detail/CVE-2021-20016 | https://nvd.nist.gov/vuln/detail/CVE-2021-20038"
"aa23-349a","E62","REVISE_CPE","cpe:2.3:a:microsoft:smbv1:*:*:*:*:*:*:*:*","cpe:2.3:a:microsoft:server_message_block:1.0:*:*:*:*:*:*:*","SMBv1 对应 NVD 正式 CPE product=server_message_block、version=1.0；该代际号属于协议允许保留的产品标识。","https://nvd.nist.gov/products/cpe/detail/343095"
